stripid,PU,S,A,A_std,E_pu,E_pu_std,w1,w2,w3,w4,w5,sw1,sw2,sw3,sw4,sw5,eta_ring
9224,50,30,28.0584,0.999873,0.22319899999999998,0.0764622,-0.739613,-0.468188,0.35199400000000003,0.5169229999999999,0.338883,0.0197254,0.013604399999999999,0.0223449,0.0127052,0.0151976,-25
17352,30,2,1.8945400000000001,0.25219400000000003,0.11800000000000001,0.0533082,-0.79042,-0.48551400000000006,0.417875,0.552408,0.30565,0.15465299999999998,0.14269400000000002,0.20064200000000001,0.130896,0.189367,-25
17352,30,10,9.02055,0.360576,0.11670599999999999,0.0510009,-0.760501,-0.459606,0.367659,0.52194,0.33050799999999997,0.0361152,0.0287471,0.039025300000000006,0.0284038,0.0222446,-25
17352,30,30,26.8299,0.827858,0.11688599999999999,0.0509399,-0.7543569999999999,-0.455718,0.363774,0.517452,0.32884800000000003,0.0180805,0.0134847,0.016618200000000003,0.00901847,0.0100037,-25
17352,50,2,1.9731900000000002,0.379952,0.196338,0.0692054,-0.812538,-0.512093,0.45536000000000004,0.576973,0.292299,0.21750500000000003,0.195662,0.263876,0.176753,0.262913,-25
17352,50,10,9.10415,0.457772,0.195548,0.066822,-0.7674350000000001,-0.46417200000000003,0.372634,0.527079,0.331894,0.0453291,0.0374038,0.0536924,0.036557099999999995,0.0387137,-25
17352,50,30,26.9106,0.8638540000000001,0.19553299999999998,0.0667699,-0.756425,-0.457034,0.36480500000000005,0.518941,0.32971300000000003,0.0206311,0.015110299999999998,0.0202184,0.011965799999999999,0.0116325,-25
17104,30,2,1.81433,0.220338,0.104332,0.045499300000000006,-0.736013,-0.5199020000000001,0.37109000000000003,0.546226,0.3386,0.145177,0.150428,0.170407,0.12991,0.164729,-25
17104,30,10,8.66665,0.34836100000000003,0.10379300000000001,0.0463269,-0.712987,-0.48836999999999997,0.33205999999999997,0.517259,0.352039,0.030277999999999996,0.0310476,0.03855530000000001,0.0297813,0.022803999999999998,-25
17104,30,30,25.7892,0.788894,0.10360499999999999,0.045279599999999996,-0.707245,-0.48371000000000003,0.32799999999999996,0.5124569999999999,0.350498,0.0110385,0.00983837,0.0137841,0.00975391,0.010998,-25
17104,50,2,1.88307,0.310949,0.17338,0.0616356,-0.7546039999999999,-0.542397,0.402595,0.567591,0.326814,0.187187,0.193682,0.235418,0.16233499999999998,0.235844,-25
17104,50,10,8.73493,0.39015,0.172702,0.0578889,-0.719346,-0.49277,0.33613899999999997,0.521987,0.35399,0.035902699999999996,0.038222000000000006,0.0454797,0.0357543,0.0299193,-25
17104,50,30,25.8577,0.8024680000000001,0.172517,0.0602001,-0.709263,-0.484983,0.329311,0.513965,0.35097,0.0134945,0.0124822,0.0213291,0.0122988,0.0227999,-25
17160,30,2,1.74984,0.22377800000000003,0.0916466,0.0424208,-0.764469,-0.49799899999999997,0.39334600000000003,0.548667,0.320454,0.14073,0.128642,0.168909,0.12098699999999998,0.170454,-24
17160,30,10,8.38999,0.346702,0.0915687,0.0438055,-0.739863,-0.472918,0.353674,0.5218020000000001,0.337305,0.029999,0.027070099999999996,0.03325669999999999,0.026134300000000003,0.018558900000000003,-24
17160,30,30,24.9809,0.7280979999999999,0.092139,0.044094699999999994,-0.734128,-0.46908500000000003,0.349539,0.5174300000000001,0.336244,0.0123011,0.009910299999999999,0.0122839,0.00864404,0.00723748,-24
17160,50,2,1.8105099999999998,0.274607,0.152599,0.055686900000000004,-0.784867,-0.5233369999999999,0.42639499999999997,0.572164,0.30964400000000003,0.18751700000000002,0.18368800000000002,0.23097600000000001,0.160666,0.23312800000000003,-24
17160,50,10,8.45161,0.378422,0.153391,0.0605355,-0.74475,-0.476446,0.35625100000000004,0.5252979999999999,0.339646,0.037018199999999994,0.030820599999999997,0.0404223,0.030816500000000004,0.022763400000000003,-24
17160,50,30,25.0414,0.756528,0.153298,0.0581126,-0.735771,-0.47016,0.35029899999999997,0.518579,0.33705300000000005,0.015544,0.0118186,0.015875999999999998,0.0109734,0.00919502,-24
25032,30,2,1.49395,0.179898,0.058191099999999996,0.029809,-0.7332420000000001,-0.501024,0.35585100000000003,0.534293,0.344121,0.11943800000000002,0.118913,0.140735,0.10633900000000002,0.130092,-23
25032,30,10,7.2256800000000005,0.23387199999999997,0.0572721,0.028937,-0.71707,-0.480998,0.329644,0.51505,0.35337399999999997,0.025614799999999997,0.021566299999999997,0.0271152,0.021038499999999998,0.0161202,-23
25032,30,30,21.5576,0.494908,0.057735699999999994,0.0285433,-0.7136979999999999,-0.47813100000000003,0.327707,0.512415,0.351707,0.0132135,0.00987342,0.0124512,0.00749303,0.00839869,-23
25032,50,2,1.52824,0.18140499999999998,0.0961565,0.0369255,-0.7483609999999999,-0.51918,0.37562,0.5509,0.341022,0.145868,0.159164,0.1823,0.13528800000000002,0.174316,-23
25032,50,10,7.2641800000000005,0.26278,0.0967908,0.038432999999999995,-0.721399,-0.484105,0.332794,0.51866,0.354049,0.0330547,0.029779400000000004,0.0410923,0.0294711,0.031099,-23
