stripid,PU,S,A,A_std,E_pu,E_pu_std,w1,w2,w3,w4,w5,sw1,sw2,sw3,sw4,sw5,eta_ring,w1c,w2c,w3c,w4c,w5c,encw1,encw2,encw3,encw4,encw5
189320,50,2,1.2818,0.133743,0.0562258,0.0288197,-0.700671,-0.5243,0.328452,0.535,0.361518,0.116518,0.130276,0.137817,0.113049,0.125247,-21,-0.703125,-0.515625,0.328125,0.53125,0.359375,83,95,21,34,23
189320,50,10,6.18344,0.184056,0.0557218,0.02807,-0.682834,-0.500227,0.302151,0.512333,0.368576,0.0250053,0.0257986,0.0305038,0.0238571,0.0185605,-21,-0.6875,-0.5,0.296875,0.515625,0.375,84,96,19,33,24
189320,50,30,18.4392,0.390964,0.0558917,0.0290103,-0.679132,-0.496873,0.299998,0.50911,0.366896,0.0126867,0.00939773,0.0158566,0.00831866,0.0109232,-21,-0.671875,-0.5,0.296875,0.515625,0.359375,85,96,19,33,23
189072,30,2,1.11903,0.0891759,0.0205023,0.0167228,-0.71402,-0.489387,0.328253,0.519774,0.35538,0.0929126,0.0921153,0.107814,0.0838101,0.104275,-20,-0.71875,-0.484375,0.328125,0.515625,0.359375,82,97,21,33,23
189072,30,10,5.51213,0.118863,0.0205738,0.015234,-0.708665,-0.480991,0.317285,0.511856,0.360515,0.0199026,0.0187526,0.0246219,0.0177618,0.0181538,-20,-0.703125,-0.484375,0.3125,0.515625,0.359375,83,97,20,33,23
189072,30,30,16.4955,0.256748,0.0205452,0.0148488,-0.707173,-0.479657,0.316394,0.510615,0.359821,0.0118134,0.00752885,0.0169506,0.00699187,0.0138833,-20,-0.703125,-0.484375,0.3125,0.515625,0.359375,83,97,20,33,23
189072,50,2,1.13343,0.107897,0.0340031,0.0198018,-0.721829,-0.497233,0.33571,0.527912,0.35544,0.104644,0.105177,0.121394,0.0980938,0.105258,-20,-0.71875,-0.5,0.328125,0.53125,0.359375,82,96,21,34,23
189072,50,10,5.52883,0.163312,0.0342547,0.020565,-0.710416,-0.482503,0.3187,0.513289,0.36093,0.0235037,0.0226713,0.0301682,0.0217452,0.022071,-20,-0.703125,-0.484375,0.3125,0.515625,0.359375,83,97,20,33,23
189072,50,30,16.5107,0.27028,0.0342483,0.0194153,-0.707655,-0.479996,0.316585,0.510914,0.360151,0.012587,0.00844336,0.0175222,0.00795252,0.0141015,-20,-0.703125,-0.484375,0.3125,0.515625,0.359375,83,97,20,33,23
188816,30,2,1.06342,0.0616899,0.0194381,0.0148498,-0.697838,-0.499198,0.319528,0.521755,0.355753,0.0905688,0.0895916,0.0952377,0.086826,0.0936954,-19,-0.703125,-0.5,0.328125,0.515625,0.359375,83,96,21,33,23
