CMSSWID,SM/iz,TT/SC,Strip,XTAL,iphi/ix,ieta/iy,eta,eta_ring,A,t0,alpha,beta,stripid
872416057,-1,151,1,3,6,57,-1.59972,-19,0.237144,122.074,1.52219,35.6348,229712
872416058,-1,151,1,1,6,58,-1.59667,-19,0.233348,123.49700000000001,1.50549,36.7158,229712
872416059,-1,151,2,5,6,59,-1.59322,-19,0.23267800000000002,123.445,1.61696,35.1051,221712
872416060,-1,151,2,3,6,60,-1.5893700000000002,-19,0.23570300000000002,121.42,1.48143,36.3038,221712
872416061,-1,152,2,5,6,61,-1.58569,-19,0.23518000000000003,123.67299999999999,1.5886,35.3759,221704
872416062,-1,152,2,2,6,62,-1.5809600000000001,-19,0.23474,123.177,1.54374,35.9531,221704
872416063,-1,152,1,5,6,63,-1.57587,-19,0.23278000000000001,123.713,1.51007,36.7929,221648
872416064,-1,152,1,4,6,64,-1.57043,-19,0.236002,123.611,1.5630899999999999,35.5145,221648
872416065,-1,152,1,2,6,65,-1.56465,-18,0.23681100000000002,123.17299999999999,1.5250299999999999,35.8101,221648
872416066,-1,153,2,5,6,66,-1.5594,-18,0.234519,123.73700000000001,1.58427,35.5951,221640
872416067,-1,153,2,1,6,67,-1.55288,-18,0.234722,123.406,1.6159299999999999,35.3682,221640
872416068,-1,153,1,5,6,68,-1.54606,-18,0.23024299999999998,124.84899999999999,1.6458400000000002,35.7769,221320
872416069,-1,153,1,4,6,69,-1.5389700000000002,-18,0.231152,124.76799999999999,1.6854,34.8391,221320
872416070,-1,153,1,2,6,70,-1.5316,-18,0.229591,126.56700000000001,1.6519599999999999,36.0517,221320
872416071,-1,154,1,5,6,71,-1.5251299999999999,-18,0.22712800000000002,125.41,1.52864,38.0494,221256
872416072,-1,154,1,4,6,72,-1.51719,-18,0.220815,126.009,1.42377,40.7583,221256
872416073,-1,154,1,3,6,73,-1.50901,-18,0.232683,123.374,1.50959,36.8178,221256
872416074,-1,154,1,2,6,74,-1.50063,-18,0.22693400000000002,124.897,1.42624,39.4469,221256
872416075,-1,154,1,1,6,75,-1.49205,-18,0.22578600000000001,127.053,1.4774399999999999,39.2446,221256
872416154,-1,233,2,1,7,26,-1.50482,-18,0.233211,124.07,1.63915,35.2303,237840
872416155,-1,233,2,2,7,27,-1.51378,-18,0.23307399999999998,122.43799999999999,1.58097,35.7898,237840
872416156,-1,233,2,3,7,28,-1.5225600000000001,-18,0.230158,122.62799999999999,1.52904,37.0082,237840
872416157,-1,233,2,4,7,29,-1.53112,-18,0.232987,123.34299999999999,1.63611,35.2292,237840
872416158,-1,233,2,5,7,30,-1.53946,-18,0.23327699999999998,123.6,1.6801700000000002,34.7067,237840
872416159,-1,232,1,2,7,31,-1.5464200000000001,-18,0.23542600000000002,123.759,1.57831,35.3974,237768
872416160,-1,232,1,4,7,32,-1.55419,-18,0.23287600000000003,123.391,1.55792,35.9184,237768
872416161,-1,232,3,2,7,33,-1.56169,-18,0.228296,123.493,1.4677200000000001,38.3034,238024
872416162,-1,232,3,4,7,34,-1.56891,-19,0.23276999999999998,122.594,1.58818,35.6515,238024
872416163,-1,232,2,3,7,35,-1.5758299999999998,-19,0.23131500000000002,123.141,1.55244,36.5603,237968
872416164,-1,231,3,1,7,36,-1.5815700000000001,-19,0.23051999999999997,124.292,1.51675,37.3882,237976
872416165,-1,231,1,3,7,37,-1.58775,-19,0.23425300000000002,123.646,1.58938,35.5619,237960
872416166,-1,231,1,5,7,38,-1.59359,-19,0.231095,123.125,1.48051,37.51,237960
872416167,-1,231,2,2,7,39,-1.59907,-19,0.233442,122.527,1.54556,36.1371,237904
872416168,-1,231,2,4,7,40,-1.60418,-19,0.229239,122.147,1.40982,38.8227,237904
872416169,-1,230,2,2,7,41,-1.60829,-19,0.23579499999999998,120.977,1.3881700000000001,37.7135,237896
872416170,-1,230,2,5,7,42,-1.61251,-19,0.23166199999999998,122.46799999999999,1.50268,36.9441,237896
872416171,-1,230,3,1,7,43,-1.61632,-19,0.233319,123.56200000000001,1.53492,36.3691,230152
872416172,-1,230,1,3,7,44,-1.61971,-19,0.232908,123.883,1.46364,37.5948,229912
872416173,-1,230,1,5,7,45,-1.62267,-19,0.22669499999999998,123.12200000000001,1.32292,40.7246,229912
872416174,-1,229,2,2,7,46,-1.62485,-19,0.233262,122.16,1.51063,36.5641,229904
872416175,-1,229,2,5,7,47,-1.62681,-19,0.227529,122.445,1.36707,39.8147,229904
872416176,-1,229,1,2,7,48,-1.62832,-19,0.23203400000000002,121.57799999999999,1.41575,38.0058,229848
872416177,-1,229,1,4,7,49,-1.6293799999999998,-19,0.232229,122.06,1.5098799999999999,36.82,229848
872416178,-1,229,3,3,7,50,-1.62998,-19,0.223469,123.725,1.35921,41.074,230088
872416179,-1,150,3,5,7,51,-1.6301,-19,0.229252,124.17,1.44905,38.5263,230024
872416180,-1,150,1,3,7,52,-1.62973,-19,0.233619,123.564,1.47092,37.1149,229784
872416181,-1,150,1,1,7,53,-1.6289,-19,0.23608600000000002,122.876,1.52098,35.7914,229784
872416182,-1,150,2,4,7,54,-1.62761,-19,0.234695,122.75,1.52395,36.1149,229720
872416183,-1,150,2,2,7,55,-1.6258700000000001,-19,0.235051,123.24799999999999,1.52787,36.133,229720
872416184,-1,151,1,4,7,56,-1.6239299999999999,-19,0.23227899999999999,122.45200000000001,1.44595,37.6805,229712
872416185,-1,151,1,2,7,57,-1.6211799999999998,-19,0.23194299999999998,123.935,1.49458,37.2497,229712
872416186,-1,151,3,3,7,58,-1.618,-19,0.233869,122.508,1.4888299999999999,36.6873,229960
872416187,-1,151,2,4,7,59,-1.6144,-19,0.233386,122.39399999999999,1.49169,36.8007,221712
872416188,-1,151,2,2,7,60,-1.61038,-19,0.23271999999999998,123.564,1.5171,36.7165,221712
872416189,-1,152,2,4,7,61,-1.60647,-19,0.23446799999999998,122.196,1.48496,36.6418,221704
872416190,-1,152,2,1,7,62,-1.60155,-19,0.226091,123.98299999999999,1.30774,41.3594,221704
872416191,-1,152,3,5,7,63,-1.59625,-19,0.237919,122.35700000000001,1.59677,34.543,221656
872416192,-1,152,1,3,7,64,-1.59059,-19,0.230998,123.398,1.41038,38.5045,221648
872416193,-1,152,1,1,7,65,-1.58457,-19,0.235276,124.795,1.5882,35.5708,221648
872416194,-1,153,2,4,7,66,-1.579,-19,0.23180900000000002,123.34100000000001,1.60701,35.8301,221640
872416195,-1,153,3,5,7,67,-1.57223,-19,0.231754,123.446,1.5354,36.8289,221576
872416197,-1,153,1,3,7,69,-1.55779,-18,0.23306999999999997,124.524,1.7245099999999998,34.3673,221320
872416198,-1,153,1,1,7,70,-1.55014,-18,0.23607899999999998,124.443,1.64113,34.8178,221320
872416199,-1,154,2,5,7,71,-1.54331,-18,0.23263499999999998,121.709,1.4904700000000002,36.8242,221264
872416200,-1,154,2,4,7,72,-1.53508,-18,0.23170900000000003,123.68299999999999,1.59618,36.0509,221264
872416201,-1,154,2,3,7,73,-1.52662,-18,0.23222800000000002,122.385,1.4834399999999999,37.247,221264
872416202,-1,154,2,2,7,74,-1.51794,-18,0.23262600000000003,123.37799999999999,1.5729,36.0698,221264
872416203,-1,154,2,1,7,75,-1.5090700000000001,-18,0.22685300000000003,125.348,1.47485,38.8623,221264
872416282,-1,233,3,1,8,26,-1.5219,-18,0.23249899999999998,124.436,1.63494,35.5024,237848
872416283,-1,233,3,4,8,27,-1.53118,-18,0.22984699999999997,123.005,1.56016,36.7591,237848
872416284,-1,233,3,5,8,28,-1.54026,-18,0.23113899999999998,123.02799999999999,1.5903100000000001,36.1148,237848
872416285,-1,233,4,2,8,29,-1.54912,-18,0.22662,125.035,1.58538,37.4321,238088
872416286,-1,233,4,4,8,30,-1.55776,-18,0.227225,123.288,1.50309,38.1038,238088
872416287,-1,232,4,1,8,31,-1.56511,-18,0.22882399999999997,123.4,1.5188,37.546,238032
872416288,-1,232,3,1,8,32,-1.57318,-19,0.23303200000000002,123.835,1.54535,36.3359,238024
872416289,-1,232,3,3,8,33,-1.58097,-19,0.23223600000000003,121.447,1.45651,37.4739,238024
872416290,-1,232,3,5,8,34,-1.58847,-19,0.23112199999999997,121.11399999999999,1.37731,38.8297,238024
872416291,-1,232,2,4,8,35,-1.59566,-19,0.232017,121.48299999999999,1.50662,36.591,237968
872416292,-1,231,3,2,8,36,-1.6017299999999999,-19,0.232494,123.087,1.48829,37.1835,237976
872416293,-1,231,3,3,8,37,-1.60817,-19,0.233407,123.7,1.5936700000000001,35.711999999999996,237976
872416294,-1,231,3,5,8,38,-1.61425,-19,0.231881,121.43700000000001,1.44,37.6379,237976
872416295,-1,231,4,1,8,39,-1.61996,-19,0.230848,123.45100000000001,1.50758,37.353,238160
872416296,-1,231,2,5,8,40,-1.6252799999999998,-19,0.225906,124.12700000000001,1.43523,39.3847,237904
872416297,-1,230,2,3,8,41,-1.62965,-19,0.235065,122.65100000000001,1.5548600000000001,35.7789,237896
872416298,-1,230,4,3,8,42,-1.63406,-19,0.226579,123.016,1.34257,40.6647,238152
872416299,-1,230,3,2,8,43,-1.6380299999999999,-19,0.232082,124.146,1.5537,36.4935,230152
872416300,-1,230,3,3,8,44,-1.64157,-19,0.229535,123.978,1.45692,38.185,230152
872416301,-1,230,3,4,8,45,-1.64467,-19,0.22979499999999997,123.369,1.43991,38.3647,230152
872416302,-1,229,2,3,8,46,-1.6469900000000002,-19,0.22952399999999998,122.897,1.51268,37.3354,229904
872416303,-1,229,4,3,8,47,-1.64904,-19,0.23019099999999998,121.2,1.43166,38.1119,230160
872416304,-1,229,3,1,8,48,-1.65062,-19,0.23236300000000001,123.53299999999999,1.56054,36.2876,230088
872416305,-1,229,3,2,8,49,-1.65173,-19,0.229927,122.022,1.39581,38.8163,230088
872416306,-1,229,3,4,8,50,-1.65235,-19,0.234132,120.71600000000001,1.49042,36.3641,230088
872416307,-1,150,3,4,8,51,-1.65248,-19,0.22780999999999998,124.99,1.47502,38.5847,230024
872416308,-1,150,3,3,8,52,-1.65209,-19,0.231866,124.111,1.51478,37.0322,230024
872416309,-1,150,3,2,8,53,-1.65123,-19,0.232377,124.419,1.51464,36.9993,230024
872416310,-1,150,4,5,8,54,-1.64988,-19,0.230526,122.061,1.4415,37.7302,229968
872416311,-1,150,2,1,8,55,-1.6480599999999999,-19,0.23237,123.633,1.49127,37.1607,229720
872416312,-1,151,3,5,8,56,-1.64599,-19,0.22905599999999998,123.374,1.4162299999999999,38.8324,229960
872416313,-1,151,3,4,8,57,-1.6431200000000001,-19,0.234744,122.229,1.51068,36.1499,229960
872416314,-1,151,3,2,8,58,-1.6398,-19,0.232211,123.491,1.43965,37.9185,229960
872416315,-1,151,4,5,8,59,-1.63604,-19,0.225331,122.54,1.30445,41.1994,221968
872416316,-1,151,2,1,8,60,-1.63184,-19,0.235021,122.18799999999999,1.45626,36.8488,221712
872416317,-1,152,2,3,8,61,-1.62768,-19,0.234132,122.29799999999999,1.46298,36.9826,221704
872416318,-1,152,4,3,8,62,-1.62255,-19,0.23397800000000002,121.821,1.45512,37.1371,221960
872416319,-1,152,3,4,8,63,-1.61703,-19,0.235046,122.929,1.5126600000000001,36.2919,221656
872416320,-1,152,3,3,8,64,-1.61113,-19,0.2352,122.279,1.49895,36.2864,221656
872416321,-1,152,3,1,8,65,-1.60487,-19,0.23054699999999997,124.105,1.4306,38.407,221656
872416322,-1,153,2,3,8,66,-1.59896,-19,0.234055,121.38,1.48099,36.8338,221640
872416323,-1,153,4,5,8,67,-1.5919299999999998,-19,0.231238,121.647,1.41414,38.4358,221584
872416324,-1,153,3,3,8,68,-1.58457,-19,0.231552,124.676,1.6161299999999998,35.9476,221576
872416325,-1,153,3,2,8,69,-1.57692,-19,0.23459499999999997,123.45100000000001,1.57893,35.6312,221576
872416326,-1,153,3,1,8,70,-1.5689899999999999,-19,0.230113,124.829,1.59954,36.3376,221576
872416327,-1,154,4,5,8,71,-1.56176,-18,0.23274499999999998,121.863,1.51578,36.5654,221520
