stripid,w1c,w2c,w3c,w4c,w5c
246024,-0.65625,-0.515625,0.25,0.515625,0.40625
246280,-0.65625,-0.515625,0.25,0.515625,0.40625
246232,-0.65625,-0.515625,0.25,0.515625,0.40625
246224,-0.65625,-0.515625,0.25,0.515625,0.40625
246168,-0.65625,-0.515625,0.25,0.515625,0.40625
246416,-0.65625,-0.515625,0.25,0.515625,0.40625
246408,-0.65625,-0.515625,0.25,0.515625,0.40625
246352,-0.65625,-0.515625,0.25,0.515625,0.40625
238600,-0.65625,-0.515625,0.25,0.515625,0.40625
238552,-0.65625,-0.515625,0.25,0.515625,0.40625
90256,-0.65625,-0.515625,0.25,0.515625,0.40625
90248,-0.65625,-0.515625,0.25,0.515625,0.40625
90184,-0.65625,-0.515625,0.25,0.515625,0.40625
82192,-0.65625,-0.515625,0.25,0.515625,0.40625
82184,-0.65625,-0.515625,0.25,0.515625,0.40625
82128,-0.65625,-0.515625,0.25,0.515625,0.40625
82064,-0.65625,-0.515625,0.25,0.515625,0.40625
82000,-0.65625,-0.515625,0.25,0.515625,0.40625
81992,-0.65625,-0.515625,0.25,0.515625,0.40625
73992,-0.65625,-0.515625,0.25,0.515625,0.40625
73936,-0.65625,-0.515625,0.25,0.515625,0.40625
73928,-0.65625,-0.515625,0.25,0.515625,0.40625
222104,-0.65625,-0.515625,0.25,0.515625,0.40625
222024,-0.65625,-0.515625,0.25,0.515625,0.40625
213776,-0.65625,-0.515625,0.25,0.515625,0.40625
213712,-0.65625,-0.515625,0.25,0.515625,0.40625
213704,-0.65625,-0.515625,0.25,0.515625,0.40625
213472,-0.65625,-0.515625,0.25,0.515625,0.40625
213400,-0.65625,-0.515625,0.25,0.515625,0.40625
213392,-0.65625,-0.515625,0.25,0.515625,0.40625
213064,-0.65625,-0.515625,0.25,0.515625,0.40625
246240,-0.65625,-0.515625,0.25,0.515625,0.40625
246360,-0.65625,-0.515625,0.25,0.515625,0.40625
246600,-0.65625,-0.515625,0.25,0.515625,0.40625
238608,-0.65625,-0.515625,0.25,0.515625,0.40625
82376,-0.65625,-0.515625,0.25,0.515625,0.40625
82312,-0.65625,-0.515625,0.25,0.515625,0.40625
222032,-0.65625,-0.515625,0.25,0.515625,0.40625
214024,-0.65625,-0.515625,0.25,0.515625,0.40625
213784,-0.65625,-0.515625,0.25,0.515625,0.40625
213408,-0.65625,-0.515625,0.25,0.515625,0.40625
213344,-0.65625,-0.515625,0.25,0.515625,0.40625
246288,-0.65625,-0.515625,0.25,0.515625,0.40625
246472,-0.65625,-0.515625,0.25,0.515625,0.40625
246608,-0.65625,-0.515625,0.25,0.515625,0.40625
238616,-0.65625,-0.515625,0.25,0.515625,0.40625
90312,-0.65625,-0.515625,0.25,0.515625,0.40625
90264,-0.65625,-0.515625,0.25,0.515625,0.40625
90192,-0.65625,-0.515625,0.25,0.515625,0.40625
82440,-0.65625,-0.515625,0.25,0.515625,0.40625
82256,-0.65625,-0.515625,0.25,0.515625,0.40625
74000,-0.65625,-0.515625,0.25,0.515625,0.40625
73944,-0.65625,-0.515625,0.25,0.515625,0.40625
73864,-0.65625,-0.515625,0.25,0.515625,0.40625
222040,-0.65625,-0.515625,0.25,0.515625,0.40625
214032,-0.65625,-0.515625,0.25,0.515625,0.40625
213640,-0.65625,-0.515625,0.25,0.515625,0.40625
213416,-0.65625,-0.515625,0.25,0.515625,0.40625
213328,-0.65625,-0.515625,0.25,0.515625,0.40625
246296,-0.65625,-0.515625,0.25,0.515625,0.40625
246664,-0.65625,-0.515625,0.25,0.515625,0.40625
90376,-0.65625,-0.515625,0.25,0.515625,0.40625
90320,-0.65625,-0.515625,0.25,0.515625,0.40625
90440,-0.65625,-0.515625,0.25,0.515625,0.40625
82384,-0.65625,-0.515625,0.25,0.515625,0.40625
82320,-0.65625,-0.515625,0.25,0.515625,0.40625
74248,-0.65625,-0.515625,0.25,0.515625,0.40625
73872,-0.65625,-0.515625,0.25,0.515625,0.40625
73800,-0.65625,-0.515625,0.25,0.515625,0.40625
213960,-0.65625,-0.515625,0.25,0.515625,0.40625
213336,-0.65625,-0.515625,0.25,0.515625,0.40625
246304,-0.65625,-0.515625,0.25,0.515625,0.40625
246480,-0.65625,-0.515625,0.25,0.515625,0.40625
213648,-0.65625,-0.515625,0.25,0.515625,0.40625
254032,-0.65625,-0.515625,0.25,0.515625,0.40625
254024,-0.65625,-0.515625,0.25,0.515625,0.40625
254296,-0.65625,-0.515625,0.25,0.515625,0.40625
246312,-0.65625,-0.515625,0.25,0.515625,0.40625
246536,-0.65625,-0.515625,0.25,0.515625,0.40625
246488,-0.65625,-0.515625,0.25,0.515625,0.40625
246728,-0.65625,-0.515625,0.25,0.515625,0.40625
246672,-0.65625,-0.515625,0.25,0.515625,0.40625
98440,-0.65625,-0.515625,0.25,0.515625,0.40625
98376,-0.65625,-0.515625,0.25,0.515625,0.40625
90384,-0.65625,-0.515625,0.25,0.515625,0.40625
90632,-0.65625,-0.515625,0.25,0.515625,0.40625
90568,-0.65625,-0.515625,0.25,0.515625,0.40625
90504,-0.65625,-0.515625,0.25,0.515625,0.40625
90448,-0.65625,-0.515625,0.25,0.515625,0.40625
82448,-0.65625,-0.515625,0.25,0.515625,0.40625
82392,-0.65625,-0.515625,0.25,0.515625,0.40625
82328,-0.65625,-0.515625,0.25,0.515625,0.40625
82248,-0.65625,-0.515625,0.25,0.515625,0.40625
74256,-0.65625,-0.515625,0.25,0.515625,0.40625
74184,-0.65625,-0.515625,0.25,0.515625,0.40625
74120,-0.65625,-0.515625,0.25,0.515625,0.40625
74056,-0.65625,-0.515625,0.25,0.515625,0.40625
73808,-0.65625,-0.515625,0.25,0.515625,0.40625
65800,-0.65625,-0.515625,0.25,0.515625,0.40625
65736,-0.65625,-0.515625,0.25,0.515625,0.40625
213968,-0.65625,-0.515625,0.25,0.515625,0.40625
213896,-0.65625,-0.515625,0.25,0.515625,0.40625
213656,-0.65625,-0.515625,0.25,0.515625,0.40625
213584,-0.65625,-0.515625,0.25,0.515625,0.40625
213592,-0.65625,-0.515625,0.25,0.515625,0.40625
213320,-0.65625,-0.515625,0.25,0.515625,0.40625
205344,-0.65625,-0.515625,0.25,0.515625,0.40625
205072,-0.65625,-0.515625,0.25,0.515625,0.40625
205064,-0.65625,-0.515625,0.25,0.515625,0.40625
254280,-0.65625,-0.515625,0.25,0.515625,0.40625
254304,-0.65625,-0.515625,0.25,0.515625,0.40625
246544,-0.65625,-0.515625,0.25,0.515625,0.40625
246736,-0.65625,-0.515625,0.25,0.515625,0.40625
90576,-0.65625,-0.515625,0.25,0.515625,0.40625
74128,-0.65625,-0.515625,0.25,0.515625,0.40625
213904,-0.65625,-0.515625,0.25,0.515625,0.40625
205328,-0.65625,-0.515625,0.25,0.515625,0.40625
205336,-0.65625,-0.515625,0.25,0.515625,0.40625
254088,-0.65625,-0.515625,0.25,0.515625,0.40625
246552,-0.65625,-0.515625,0.25,0.515625,0.40625
246744,-0.65625,-0.515625,0.25,0.515625,0.40625
98448,-0.65625,-0.515625,0.25,0.515625,0.40625
98384,-0.65625,-0.515625,0.25,0.515625,0.40625
98632,-0.65625,-0.515625,0.25,0.515625,0.40625
90760,-0.65625,-0.515625,0.25,0.515625,0.40625
90696,-0.65625,-0.515625,0.25,0.515625,0.40625
82696,-0.65625,-0.515625,0.25,0.515625,0.40625
82632,-0.65625,-0.515625,0.25,0.515625,0.40625
82568,-0.65625,-0.515625,0.25,0.515625,0.40625
82504,-0.65625,-0.515625,0.25,0.515625,0.40625
74504,-0.65625,-0.515625,0.25,0.515625,0.40625
74440,-0.65625,-0.515625,0.25,0.515625,0.40625
66056,-0.65625,-0.515625,0.25,0.515625,0.40625
65808,-0.65625,-0.515625,0.25,0.515625,0.40625
65744,-0.65625,-0.515625,0.25,0.515625,0.40625
213848,-0.65625,-0.515625,0.25,0.515625,0.40625
213576,-0.65625,-0.515625,0.25,0.515625,0.40625
205000,-0.65625,-0.515625,0.25,0.515625,0.40625
254344,-0.65625,-0.515625,0.25,0.515625,0.40625
254288,-0.65625,-0.515625,0.25,0.515625,0.40625
254536,-0.65625,-0.515625,0.25,0.515625,0.40625
246792,-0.65625,-0.515625,0.25,0.515625,0.40625
98504,-0.65625,-0.515625,0.25,0.515625,0.40625
98696,-0.65625,-0.515625,0.25,0.515625,0.40625
90640,-0.65625,-0.515625,0.25,0.515625,0.40625
90824,-0.65625,-0.515625,0.25,0.515625,0.40625
90768,-0.65625,-0.515625,0.25,0.515625,0.40625
82704,-0.65625,-0.515625,0.25,0.515625,0.40625
82512,-0.65625,-0.515625,0.25,0.515625,0.40625
74448,-0.65625,-0.515625,0.25,0.515625,0.40625
74376,-0.65625,-0.515625,0.25,0.515625,0.40625
74064,-0.65625,-0.515625,0.25,0.515625,0.40625
65992,-0.65625,-0.515625,0.25,0.515625,0.40625
65672,-0.65625,-0.515625,0.25,0.515625,0.40625
205584,-0.65625,-0.515625,0.25,0.515625,0.40625
205320,-0.65625,-0.515625,0.25,0.515625,0.40625
205272,-0.65625,-0.515625,0.25,0.515625,0.40625
213840,-0.65625,-0.515625,0.25,0.515625,0.40625
254152,-0.65625,-0.515625,0.25,0.515625,0.40625
254352,-0.65625,-0.515625,0.25,0.515625,0.40625
254600,-0.65625,-0.515625,0.25,0.515625,0.40625
254544,-0.65625,-0.515625,0.25,0.515625,0.40625
254800,-0.65625,-0.515625,0.25,0.515625,0.40625
254792,-0.65625,-0.515625,0.25,0.515625,0.40625
246800,-0.65625,-0.515625,0.25,0.515625,0.40625
98568,-0.65625,-0.515625,0.25,0.515625,0.40625
98512,-0.65625,-0.515625,0.25,0.515625,0.40625
98760,-0.65625,-0.515625,0.25,0.515625,0.40625
98888,-0.65625,-0.515625,0.25,0.515625,0.40625
90888,-0.65625,-0.515625,0.25,0.515625,0.40625
90832,-0.65625,-0.515625,0.25,0.515625,0.40625
91080,-0.65625,-0.515625,0.25,0.515625,0.40625
91016,-0.65625,-0.515625,0.25,0.515625,0.40625
90960,-0.65625,-0.515625,0.25,0.515625,0.40625
90952,-0.65625,-0.515625,0.25,0.515625,0.40625
82952,-0.65625,-0.515625,0.25,0.515625,0.40625
82888,-0.65625,-0.515625,0.25,0.515625,0.40625
82824,-0.65625,-0.515625,0.25,0.515625,0.40625
82760,-0.65625,-0.515625,0.25,0.515625,0.40625
74768,-0.65625,-0.515625,0.25,0.515625,0.40625
74760,-0.65625,-0.515625,0.25,0.515625,0.40625
74696,-0.65625,-0.515625,0.25,0.515625,0.40625
74632,-0.65625,-0.515625,0.25,0.515625,0.40625
74384,-0.65625,-0.515625,0.25,0.515625,0.40625
74312,-0.65625,-0.515625,0.25,0.515625,0.40625
66320,-0.65625,-0.515625,0.25,0.515625,0.40625
66312,-0.65625,-0.515625,0.25,0.515625,0.40625
66000,-0.65625,-0.515625,0.25,0.515625,0.40625
65928,-0.65625,-0.515625,0.25,0.515625,0.40625
65680,-0.65625,-0.515625,0.25,0.515625,0.40625
65616,-0.65625,-0.515625,0.25,0.515625,0.40625
65608,-0.65625,-0.515625,0.25,0.515625,0.40625
213832,-0.65625,-0.515625,0.25,0.515625,0.40625
205832,-0.65625,-0.515625,0.25,0.515625,0.40625
205840,-0.65625,-0.515625,0.25,0.515625,0.40625
205576,-0.65625,-0.515625,0.25,0.515625,0.40625
205520,-0.65625,-0.515625,0.25,0.515625,0.40625
205264,-0.65625,-0.515625,0.25,0.515625,0.40625
204952,-0.65625,-0.515625,0.25,0.515625,0.40625
254160,-0.65625,-0.515625,0.25,0.515625,0.40625
254408,-0.65625,-0.515625,0.25,0.515625,0.40625
254360,-0.65625,-0.515625,0.25,0.515625,0.40625
254608,-0.65625,-0.515625,0.25,0.515625,0.40625
98576,-0.65625,-0.515625,0.25,0.515625,0.40625
205528,-0.65625,-0.515625,0.25,0.515625,0.40625
205256,-0.65625,-0.515625,0.25,0.515625,0.40625
205208,-0.65625,-0.515625,0.25,0.515625,0.40625
204944,-0.65625,-0.515625,0.25,0.515625,0.40625
254168,-0.65625,-0.515625,0.25,0.515625,0.40625
254416,-0.65625,-0.515625,0.25,0.515625,0.40625
106568,-0.65625,-0.515625,0.25,0.515625,0.40625
98824,-0.65625,-0.515625,0.25,0.515625,0.40625
98768,-0.65625,-0.515625,0.25,0.515625,0.40625
91144,-0.65625,-0.515625,0.25,0.515625,0.40625
91024,-0.65625,-0.515625,0.25,0.515625,0.40625
83144,-0.65625,-0.515625,0.25,0.515625,0.40625
83080,-0.65625,-0.515625,0.25,0.515625,0.40625
74704,-0.65625,-0.515625,0.25,0.515625,0.40625
74568,-0.65625,-0.515625,0.25,0.515625,0.40625
66248,-0.65625,-0.515625,0.25,0.515625,0.40625
66184,-0.65625,-0.515625,0.25,0.515625,0.40625
57616,-0.65625,-0.515625,0.25,0.515625,0.40625
205200,-0.65625,-0.515625,0.25,0.515625,0.40625
204936,-0.65625,-0.515625,0.25,0.515625,0.40625
254424,-0.65625,-0.515625,0.25,0.515625,0.40625
254664,-0.65625,-0.515625,0.25,0.515625,0.40625
254616,-0.65625,-0.515625,0.25,0.515625,0.40625
254856,-0.65625,-0.515625,0.25,0.515625,0.40625
99144,-0.65625,-0.515625,0.25,0.515625,0.40625
91088,-0.65625,-0.515625,0.25,0.515625,0.40625
83208,-0.65625,-0.515625,0.25,0.515625,0.40625
83016,-0.65625,-0.515625,0.25,0.515625,0.40625
74640,-0.65625,-0.515625,0.25,0.515625,0.40625
66568,-0.65625,-0.515625,0.25,0.515625,0.40625
66256,-0.65625,-0.515625,0.25,0.515625,0.40625
65864,-0.65625,-0.515625,0.25,0.515625,0.40625
205776,-0.65625,-0.515625,0.25,0.515625,0.40625
205512,-0.65625,-0.515625,0.25,0.515625,0.40625
205464,-0.65625,-0.515625,0.25,0.515625,0.40625
205192,-0.65625,-0.515625,0.25,0.515625,0.40625
106576,-0.65625,-0.515625,0.25,0.515625,0.40625
65872,-0.65625,-0.515625,0.25,0.515625,0.40625
57608,-0.65625,-0.515625,0.25,0.515625,0.40625
254216,-0.65625,-0.515625,0.25,0.515625,0.40625
254472,-0.65625,-0.515625,0.25,0.515625,0.40625
254672,-0.65625,-0.515625,0.25,0.515625,0.40625
254920,-0.65625,-0.515625,0.25,0.515625,0.40625
254864,-0.65625,-0.515625,0.25,0.515625,0.40625
106632,-0.65625,-0.515625,0.25,0.515625,0.40625
106824,-0.65625,-0.515625,0.25,0.515625,0.40625
106832,-0.65625,-0.515625,0.25,0.515625,0.40625
99080,-0.65625,-0.515625,0.25,0.515625,0.40625
99024,-0.65625,-0.515625,0.25,0.515625,0.40625
99272,-0.65625,-0.515625,0.25,0.515625,0.40625
99208,-0.65625,-0.515625,0.25,0.515625,0.40625
99152,-0.65625,-0.515625,0.25,0.515625,0.40625
99400,-0.65625,-0.515625,0.25,0.515625,0.40625
91400,-0.65625,-0.515625,0.25,0.515625,0.40625
91336,-0.65625,-0.515625,0.25,0.515625,0.40625
91272,-0.65625,-0.515625,0.25,0.515625,0.40625
91208,-0.65625,-0.515625,0.25,0.515625,0.40625
83216,-0.65625,-0.515625,0.25,0.515625,0.40625
83152,-0.65625,-0.515625,0.25,0.515625,0.40625
83088,-0.65625,-0.515625,0.25,0.515625,0.40625
83024,-0.65625,-0.515625,0.25,0.515625,0.40625
75016,-0.65625,-0.515625,0.25,0.515625,0.40625
74952,-0.65625,-0.515625,0.25,0.515625,0.40625
74888,-0.65625,-0.515625,0.25,0.515625,0.40625
74824,-0.65625,-0.515625,0.25,0.515625,0.40625
66824,-0.65625,-0.515625,0.25,0.515625,0.40625
66576,-0.65625,-0.515625,0.25,0.515625,0.40625
66504,-0.65625,-0.515625,0.25,0.515625,0.40625
66440,-0.65625,-0.515625,0.25,0.515625,0.40625
66192,-0.65625,-0.515625,0.25,0.515625,0.40625
66120,-0.65625,-0.515625,0.25,0.515625,0.40625
66128,-0.65625,-0.515625,0.25,0.515625,0.40625
57872,-0.65625,-0.515625,0.25,0.515625,0.40625
57864,-0.65625,-0.515625,0.25,0.515625,0.40625
57552,-0.65625,-0.515625,0.25,0.515625,0.40625
205768,-0.65625,-0.515625,0.25,0.515625,0.40625
205720,-0.65625,-0.515625,0.25,0.515625,0.40625
205456,-0.65625,-0.515625,0.25,0.515625,0.40625
205128,-0.65625,-0.515625,0.25,0.515625,0.40625
204872,-0.65625,-0.515625,0.25,0.515625,0.40625
254480,-0.65625,-0.515625,0.25,0.515625,0.40625
254728,-0.65625,-0.515625,0.25,0.515625,0.40625
254680,-0.65625,-0.515625,0.25,0.515625,0.40625
106696,-0.65625,-0.515625,0.25,0.515625,0.40625
106640,-0.65625,-0.515625,0.25,0.515625,0.40625
107080,-0.65625,-0.515625,0.25,0.515625,0.40625
99088,-0.65625,-0.515625,0.25,0.515625,0.40625
58128,-0.65625,-0.515625,0.25,0.515625,0.40625
57544,-0.65625,-0.515625,0.25,0.515625,0.40625
57480,-0.65625,-0.515625,0.25,0.515625,0.40625
205448,-0.65625,-0.515625,0.25,0.515625,0.40625
205392,-0.65625,-0.515625,0.25,0.515625,0.40625
205144,-0.65625,-0.515625,0.25,0.515625,0.40625
254984,-0.65625,-0.515625,0.25,0.515625,0.40625
254928,-0.65625,-0.515625,0.25,0.515625,0.40625
106704,-0.65625,-0.515625,0.25,0.515625,0.40625
107144,-0.65625,-0.515625,0.25,0.515625,0.40625
99280,-0.65625,-0.515625,0.25,0.515625,0.40625
99464,-0.65625,-0.515625,0.25,0.515625,0.40625
91656,-0.65625,-0.515625,0.25,0.515625,0.40625
75144,-0.65625,-0.515625,0.25,0.515625,0.40625
66760,-0.65625,-0.515625,0.25,0.515625,0.40625
66384,-0.65625,-0.515625,0.25,0.515625,0.40625
58064,-0.65625,-0.515625,0.25,0.515625,0.40625
57488,-0.65625,-0.515625,0.25,0.515625,0.40625
205712,-0.65625,-0.515625,0.25,0.515625,0.40625
205656,-0.65625,-0.515625,0.25,0.515625,0.40625
262472,-0.65625,-0.515625,0.25,0.515625,0.40625
254488,-0.65625,-0.515625,0.25,0.515625,0.40625
254736,-0.65625,-0.515625,0.25,0.515625,0.40625
254936,-0.65625,-0.515625,0.25,0.515625,0.40625
106888,-0.65625,-0.515625,0.25,0.515625,0.40625
107088,-0.65625,-0.515625,0.25,0.515625,0.40625
99336,-0.65625,-0.515625,0.25,0.515625,0.40625
99528,-0.65625,-0.515625,0.25,0.515625,0.40625
91528,-0.65625,-0.515625,0.25,0.515625,0.40625
83464,-0.65625,-0.515625,0.25,0.515625,0.40625
83336,-0.65625,-0.515625,0.25,0.515625,0.40625
75272,-0.65625,-0.515625,0.25,0.515625,0.40625
66696,-0.65625,-0.515625,0.25,0.515625,0.40625
58120,-0.65625,-0.515625,0.25,0.515625,0.40625
57800,-0.65625,-0.515625,0.25,0.515625,0.40625
205704,-0.65625,-0.515625,0.25,0.515625,0.40625
205384,-0.65625,-0.515625,0.25,0.515625,0.40625
205136,-0.65625,-0.515625,0.25,0.515625,0.40625
197144,-0.65625,-0.515625,0.25,0.515625,0.40625
91664,-0.65625,-0.515625,0.25,0.515625,0.40625
75152,-0.65625,-0.515625,0.25,0.515625,0.40625
66376,-0.65625,-0.515625,0.25,0.515625,0.40625
262216,-0.65625,-0.515625,0.25,0.515625,0.40625
262480,-0.65625,-0.515625,0.25,0.515625,0.40625
262736,-0.65625,-0.515625,0.25,0.515625,0.40625
262728,-0.65625,-0.515625,0.25,0.515625,0.40625
255000,-0.65625,-0.515625,0.25,0.515625,0.40625
