stripid,w1,w2,w3,w4,w5,w1c,w2c,w3c,w4c,w5c,encw1,encw2,encw3,encw4,encw5
770952,-0.636648,-0.515067,0.278427,0.501215,0.372074,-0.640625,-0.515625,0.281250,0.500000,0.375000,87.000000,95.000000,18.000000,32.000000,24.000000
770960,-0.579267,-0.537049,0.245721,0.489651,0.380944,-0.578125,-0.531250,0.250000,0.484375,0.375000,91.000000,94.000000,16.000000,31.000000,24.000000
771016,-0.659680,-0.506194,0.307745,0.504915,0.353214,-0.656250,-0.515625,0.312500,0.500000,0.359375,86.000000,95.000000,20.000000,32.000000,23.000000
771080,-0.597899,-0.530826,0.257229,0.494369,0.377127,-0.593750,-0.531250,0.250000,0.500000,0.375000,90.000000,94.000000,16.000000,32.000000,24.000000
771088,-0.608439,-0.527053,0.257696,0.498243,0.379552,-0.609375,-0.531250,0.265625,0.500000,0.375000,89.000000,94.000000,17.000000,32.000000,24.000000
771144,-0.595139,-0.532254,0.265405,0.491812,0.370176,-0.593750,-0.531250,0.265625,0.484375,0.375000,90.000000,94.000000,17.000000,31.000000,24.000000
771208,-0.614346,-0.524828,0.279450,0.495006,0.364718,-0.609375,-0.531250,0.281250,0.500000,0.359375,89.000000,94.000000,18.000000,32.000000,23.000000
771272,-0.582458,-0.537091,0.255041,0.491149,0.373359,-0.578125,-0.531250,0.250000,0.484375,0.375000,91.000000,94.000000,16.000000,31.000000,24.000000
771336,-0.588313,-0.535622,0.256666,0.493982,0.373287,-0.593750,-0.531250,0.250000,0.500000,0.375000,90.000000,94.000000,16.000000,32.000000,24.000000
771400,-0.623045,-0.521496,0.286345,0.496385,0.361811,-0.625000,-0.515625,0.281250,0.500000,0.359375,88.000000,95.000000,18.000000,32.000000,23.000000
771528,-0.606301,-0.528220,0.274706,0.493631,0.366184,-0.609375,-0.531250,0.281250,0.500000,0.359375,89.000000,94.000000,18.000000,32.000000,23.000000
771536,-0.624000,-0.521382,0.294222,0.495367,0.355794,-0.625000,-0.531250,0.296875,0.500000,0.359375,88.000000,94.000000,19.000000,32.000000,23.000000
771544,-0.613700,-0.525412,0.282648,0.494476,0.361988,-0.609375,-0.531250,0.281250,0.500000,0.359375,89.000000,94.000000,18.000000,32.000000,23.000000
771656,-0.595270,-0.532809,0.267120,0.492816,0.368144,-0.593750,-0.531250,0.265625,0.484375,0.375000,90.000000,94.000000,17.000000,31.000000,24.000000
771664,-0.612930,-0.525966,0.279870,0.495215,0.363811,-0.609375,-0.531250,0.281250,0.500000,0.359375,89.000000,94.000000,18.000000,32.000000,23.000000
771672,-0.640974,-0.514234,0.290619,0.501755,0.362834,-0.640625,-0.515625,0.296875,0.500000,0.359375,87.000000,95.000000,19.000000,32.000000,23.000000
771784,-0.642822,-0.511921,0.295525,0.497848,0.361371,-0.640625,-0.515625,0.296875,0.500000,0.359375,87.000000,95.000000,19.000000,32.000000,23.000000
778312,-0.656092,-0.506713,0.290365,0.505736,0.366704,-0.656250,-0.500000,0.296875,0.500000,0.359375,86.000000,96.000000,19.000000,32.000000,23.000000
778320,-0.665646,-0.502649,0.295112,0.508548,0.364635,-0.671875,-0.500000,0.296875,0.515625,0.359375,85.000000,96.000000,19.000000,33.000000,23.000000
778328,-0.621340,-0.522473,0.256216,0.504608,0.382989,-0.625000,-0.515625,0.250000,0.500000,0.390625,88.000000,95.000000,16.000000,32.000000,25.000000
778376,-0.645481,-0.510172,0.275134,0.502914,0.377606,-0.640625,-0.515625,0.281250,0.500000,0.375000,87.000000,95.000000,18.000000,32.000000,24.000000
778384,-0.630237,-0.515520,0.260108,0.498507,0.387143,-0.625000,-0.515625,0.250000,0.500000,0.390625,88.000000,95.000000,16.000000,32.000000,25.000000
