stripid,PU,S,A,A_std,E_pu,E_pu_std,w1,w2,w3,w4,w5,sw1,sw2,sw3,sw4,sw5,eta_ring,w1c,w2c,w3c,w4c,w5c
286792,30,2,0.971459,0.064429,0.014701,0.013613,-0.728812,-0.477337,0.322396,0.525969,0.357785,0.098919,0.092544,0.100538,0.092591,0.114374,-18,-0.734375,-0.484375,0.328125,0.531250,0.359375
286792,30,10,4.795630,0.071044,0.014330,0.012179,-0.725290,-0.471411,0.312534,0.519096,0.365071,0.022261,0.018262,0.026667,0.018420,0.021978,-18,-0.718750,-0.468750,0.312500,0.515625,0.359375
286792,30,30,14.360000,0.156645,0.014473,0.012962,-0.723827,-0.470310,0.311562,0.517744,0.364830,0.013684,0.008986,0.014272,0.006023,0.009871,-18,-0.718750,-0.468750,0.312500,0.515625,0.359375
286792,50,2,0.980400,0.080214,0.024106,0.017357,-0.735041,-0.483791,0.331132,0.530814,0.356886,0.109012,0.110223,0.126314,0.104819,0.134280,-18,-0.734375,-0.484375,0.328125,0.531250,0.359375
286792,50,10,4.804740,0.088795,0.024098,0.016427,-0.726885,-0.472470,0.313347,0.520089,0.365920,0.025806,0.022121,0.026359,0.021257,0.017303,-18,-0.718750,-0.468750,0.312500,0.515625,0.359375
286792,50,30,14.370600,0.158456,0.024252,0.017225,-0.724361,-0.470652,0.311732,0.518159,0.365121,0.014326,0.009678,0.014921,0.006881,0.010278,-18,-0.718750,-0.468750,0.312500,0.515625,0.359375
287136,30,2,1.028230,0.066410,0.014875,0.020276,-0.698155,-0.494645,0.310597,0.518794,0.363410,0.087932,0.087781,0.096407,0.081946,0.095850,-19,-0.703125,-0.484375,0.312500,0.515625,0.359375
287136,30,10,5.080840,0.101952,0.014550,0.013064,-0.695147,-0.487863,0.301795,0.512643,0.368572,0.021989,0.017761,0.020348,0.016049,0.014270,-19,-0.703125,-0.484375,0.296875,0.515625,0.375000
287136,30,30,15.215400,0.244874,0.014558,0.012475,-0.694113,-0.487190,0.301252,0.511949,0.368102,0.015613,0.008907,0.012595,0.006331,0.008467,-19,-0.687500,-0.484375,0.296875,0.515625,0.359375
287136,50,2,1.037600,0.106791,0.024247,0.017657,-0.703780,-0.500140,0.316945,0.524134,0.362841,0.103331,0.109109,0.113242,0.098051,0.106209,-19,-0.703125,-0.500000,0.312500,0.531250,0.359375
