#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
323702:7234,1:1,09/29/18 08:56:35,STABLE BEAMS,6500,231132.042690781,225504.401760936,28.2,PLTZERO
323702:7234,2:2,09/29/18 08:56:58,STABLE BEAMS,6500,230573.289690833,154138.884203111,27.7,HFET
323702:7234,3:3,09/29/18 08:57:21,STABLE BEAMS,6500,230175.025941227,224497.166672906,27.6,HFET
323702:7234,4:4,09/29/18 08:57:44,STABLE BEAMS,6500,230026.806720096,134504.754520718,27.6,HFET
323702:7234,5:5,09/29/18 08:58:08,STABLE BEAMS,6500,229919.722828804,215824.077175695,27.6,HFET
323702:7234,6:6,09/29/18 08:58:31,STABLE BEAMS,6500,229793.607871799,141833.080686664,27.6,HFET
323702:7234,7:7,09/29/18 08:58:54,STABLE BEAMS,6500,229628.998259143,224178.555673221,27.6,HFET
323702:7234,8:8,09/29/18 08:59:18,STABLE BEAMS,6500,229514.060638580,224076.912481338,27.6,HFET
323702:7234,9:9,09/29/18 08:59:41,STABLE BEAMS,6500,229397.210805672,223991.591387682,27.5,HFET
323702:7234,10:10,09/29/18 09:00:04,STABLE BEAMS,6500,229245.736270668,223888.627858704,27.5,HFET
323702:7234,11:11,09/29/18 09:00:28,STABLE BEAMS,6500,229101.842291745,220416.664880785,27.5,HFET
323702:7234,12:12,09/29/18 09:00:51,STABLE BEAMS,6500,228992.254312860,220413.136393721,27.5,HFET
323702:7234,13:13,09/29/18 09:01:14,STABLE BEAMS,6500,228881.619170071,223548.936994364,27.5,HFET
323702:7234,14:14,09/29/18 09:01:37,STABLE BEAMS,6500,228712.251790987,223322.499182570,27.5,HFET
323702:7234,15:15,09/29/18 09:02:01,STABLE BEAMS,6500,228663.080616415,223319.699157351,27.4,HFET
323702:7234,16:16,09/29/18 09:02:24,STABLE BEAMS,6500,228492.529486832,222840.530614027,27.4,HFET
323702:7234,17:17,09/29/18 09:02:47,STABLE BEAMS,6500,228282.800768620,219614.309686809,27.4,HFET
323702:7234,18:18,09/29/18 09:03:11,STABLE BEAMS,6500,228215.964394293,222916.381703692,27.4,HFET
323702:7234,19:19,09/29/18 09:03:34,STABLE BEAMS,6500,228085.638017243,222786.237442103,27.4,HFET
323702:7234,20:20,09/29/18 09:03:58,STABLE BEAMS,6500,227950.622167062,222632.600285996,27.4,HFET
323702:7234,21:21,09/29/18 09:04:21,STABLE BEAMS,6500,227830.949544502,222533.096950784,27.3,HFET
323702:7234,22:22,09/29/18 09:04:44,STABLE BEAMS,6500,227692.496264988,222400.220957275,27.3,HFET
323702:7234,23:23,09/29/18 09:05:07,STABLE BEAMS,6500,227537.652593949,222265.774217911,27.3,HFET
323702:7234,24:24,09/29/18 09:05:31,STABLE BEAMS,6500,227432.594737166,222120.901368383,27.3,HFET
323702:7234,25:25,09/29/18 09:05:54,STABLE BEAMS,6500,227298.648815320,218824.748103994,27.3,HFET
323702:7234,26:26,09/29/18 09:06:17,STABLE BEAMS,6500,227091.492478000,221790.999210092,27.3,HFET
323702:7234,27:27,09/29/18 09:06:41,STABLE BEAMS,6500,227098.890918619,221839.555744983,27.2,HFET
323702:7234,28:28,09/29/18 09:07:04,STABLE BEAMS,6500,227285.536502101,222022.718370266,27.3,HFET
323702:7234,29:29,09/29/18 09:07:27,STABLE BEAMS,6500,227547.532357729,222259.309119032,27.3,HFET
323702:7234,30:30,09/29/18 09:07:50,STABLE BEAMS,6500,227280.004744961,222000.500283977,27.3,HFET
323702:7234,31:31,09/29/18 09:08:14,STABLE BEAMS,6500,227114.370732836,221851.552601001,27.3,HFET
323702:7234,32:32,09/29/18 09:08:37,STABLE BEAMS,6500,226969.953171961,221657.781750092,27.2,HFET
323702:7234,33:33,09/29/18 09:09:00,STABLE BEAMS,6500,226927.292625133,221670.006250437,27.2,HFET
323702:7234,34:34,09/29/18 09:09:24,STABLE BEAMS,6500,226878.417388185,221605.446319378,27.2,HFET
323702:7234,35:35,09/29/18 09:09:47,STABLE BEAMS,6500,226670.828526644,218231.074464327,27.2,HFET
323702:7234,36:36,09/29/18 09:10:10,STABLE BEAMS,6500,226492.628547683,221252.461026358,27.2,HFET
323702:7234,37:37,09/29/18 09:10:34,STABLE BEAMS,6500,226367.833927773,221140.095786686,27.2,HFET
323702:7234,38:38,09/29/18 09:10:57,STABLE BEAMS,6500,226238.190483702,221024.793935199,27.2,HFET
323702:7234,39:39,09/29/18 09:11:20,STABLE BEAMS,6500,226114.374734396,220892.578110237,27.1,HFET
323702:7234,40:40,09/29/18 09:11:44,STABLE BEAMS,6500,225927.592564318,220698.351970675,27.1,HFET
323702:7234,41:41,09/29/18 09:12:07,STABLE BEAMS,6500,225790.573444062,220550.474216034,27.1,HFET
323702:7234,42:42,09/29/18 09:12:30,STABLE BEAMS,6500,225666.279641670,220451.744871533,27.1,HFET
323702:7234,43:43,09/29/18 09:12:53,STABLE BEAMS,6500,225538.047592426,220344.023576127,27.1,HFET
323702:7234,44:44,09/29/18 09:13:17,STABLE BEAMS,6500,225407.675686510,220205.797940939,27.1,HFET
323702:7234,45:45,09/29/18 09:13:40,STABLE BEAMS,6500,225253.287304125,216904.841381257,27.0,HFET
323702:7234,46:46,09/29/18 09:14:03,STABLE BEAMS,6500,225088.837042498,219890.510548425,27.0,HFET
323702:7234,47:47,09/29/18 09:14:27,STABLE BEAMS,6500,224943.827606374,219779.260765954,27.0,HFET
323702:7234,48:48,09/29/18 09:14:50,STABLE BEAMS,6500,224868.249689901,219674.385024631,27.0,HFET
323702:7234,49:49,09/29/18 09:15:13,STABLE BEAMS,6500,224770.544744871,219617.109712027,27.0,HFET
323702:7234,50:50,09/29/18 09:15:37,STABLE BEAMS,6500,224724.719941901,219511.551037725,27.0,HFET
323702:7234,51:51,09/29/18 09:16:00,STABLE BEAMS,6500,224608.553041973,219455.300124591,27.0,HFET
323702:7234,52:52,09/29/18 09:16:23,STABLE BEAMS,6500,224471.716037178,219308.583356016,27.0,HFET
323702:7234,53:53,09/29/18 09:16:47,STABLE BEAMS,6500,224397.185284608,219233.301377168,26.9,HFET
323702:7234,54:54,09/29/18 09:17:10,STABLE BEAMS,6500,224450.522350360,219289.210823812,26.9,HFET
323702:7234,55:55,09/29/18 09:17:33,STABLE BEAMS,6500,224323.656167076,216042.092147400,26.9,HFET
323702:7234,56:56,09/29/18 09:17:57,STABLE BEAMS,6500,224182.835386564,219057.355077042,26.9,HFET
323702:7234,57:57,09/29/18 09:18:20,STABLE BEAMS,6500,224091.663833710,218957.669626369,26.9,HFET
323702:7234,58:58,09/29/18 09:18:43,STABLE BEAMS,6500,224046.567492586,218903.581334339,26.9,HFET
323702:7234,59:59,09/29/18 09:19:06,STABLE BEAMS,6500,223747.556669432,218609.874623998,26.9,HFET
323702:7234,60:60,09/29/18 09:19:30,STABLE BEAMS,6500,223555.402093243,218426.438825522,26.8,HFET
323702:7234,61:61,09/29/18 09:19:53,STABLE BEAMS,6500,223313.734875991,218217.415804723,26.8,HFET
323702:7234,62:62,09/29/18 09:20:16,STABLE BEAMS,6500,223208.358317150,214972.778451473,26.8,HFET
323702:7234,63:63,09/29/18 09:20:40,STABLE BEAMS,6500,223013.267129146,217941.260471973,26.8,HFET
323702:7234,64:64,09/29/18 09:21:03,STABLE BEAMS,6500,222949.321837769,217862.859765848,26.8,HFET
323702:7234,65:65,09/29/18 09:21:26,STABLE BEAMS,6500,222844.059101091,217740.569233531,26.7,HFET
323702:7234,66:66,09/29/18 09:21:50,STABLE BEAMS,6500,222731.602803689,217649.192800784,26.7,HFET
323702:7234,67:67,09/29/18 09:22:13,STABLE BEAMS,6500,222603.211403416,217545.773983152,26.7,HFET
323702:7234,68:68,09/29/18 09:22:36,STABLE BEAMS,6500,222480.397289147,217380.139971027,26.7,HFET
323702:7234,69:69,09/29/18 09:23:00,STABLE BEAMS,6500,222360.884017617,217301.579913874,26.7,HFET
